"(PDH-CSV 4.0) (Pacific Daylight Time)(420)","\\GEORGIS1\PMU Counters(3)\Taken Instructions Retired","\\GEORGIS1\PMU Counters(3)\Mispredicted Taken Instructions Retired","\\GEORGIS1\PMU Counters(3)\Instructions Retired","\\GEORGIS1\PMU Counters(3)\Mispredicted Instructions Retired","\\GEORGIS1\PMU Counters(2)\Taken Instructions Retired","\\GEORGIS1\PMU Counters(2)\Mispredicted Taken Instructions Retired","\\GEORGIS1\PMU Counters(2)\Instructions Retired","\\GEORGIS1\PMU Counters(2)\Mispredicted Instructions Retired","\\GEORGIS1\PMU Counters(1)\Taken Instructions Retired","\\GEORGIS1\PMU Counters(1)\Mispredicted Taken Instructions Retired","\\GEORGIS1\PMU Counters(1)\Instructions Retired","\\GEORGIS1\PMU Counters(1)\Mispredicted Instructions Retired","\\GEORGIS1\PMU Counters(0)\Taken Instructions Retired","\\GEORGIS1\PMU Counters(0)\Mispredicted Taken Instructions Retired","\\GEORGIS1\PMU Counters(0)\Instructions Retired","\\GEORGIS1\PMU Counters(0)\Mispredicted Instructions Retired"
"04/23/2018 19:44:11.423","18124238","79368","40192060","111298","12751898","99675","28930448","132490","5769676","140385","13027879","184260","6675380","164129","15691704","223675"
"04/23/2018 19:44:12.423","5678243","77028","13020843","96689","12772264","100222","29581136","129347","10865222","100282","23376715","140204","4100673","139938","9613434","190204"
"04/23/2018 19:44:13.423","11566328","76100","26519473","98130","5148697","94751","11940541","120857","8618195","99163","18335208","137940","6174211","121910","14365344","164823"
"04/23/2018 19:44:14.423","515591","48586","1147808","59893","574576","68454","1347425","82127","2013032","63728","3237207","88088","1239591","118937","2570792","148582"
"04/23/2018 19:44:15.423","452272","55218","983351","67884","440012","57980","976900","70510","2552382","76106","4250382","107710","1525287","110192","2952785","138993"
"04/23/2018 19:44:16.423","3256614","128580","6621009","184798","798889","86272","1805109","111350","3187305","133115","5777913","202558","1540184","162552","3366874","223800"
"04/23/2018 19:44:17.423","2312603","63634","3833031","91596","408852","46609","918320","56661","632304","75665","1466761","95864","601730","76553","1316816","95224"
"04/23/2018 19:44:18.423","3264248","104630","5883455","152610","1801601","131255","3877902","192118","1929701","161760","4430897","221200","1388335","147173","2981191","199852"
"04/23/2018 19:44:19.423","1060543","104597","2358530","131650","1072937","107113","2409503","134079","1010146","108383","2267502","136418","3677026","193789","6580826","252118"
"04/23/2018 19:44:20.424","1312668","152876","2927794","191398","2115156","180918","4492824","232758","4616457","190759","8344164","263140","1873291","248967","3872799","307682"
"04/23/2018 19:44:21.424","2818135","207966","5807956","263151","2651497","229109","5883459","289992","3747784","217224","6891138","286340","3614753","418055","7946843","513920"
"04/23/2018 19:44:22.424","5475590","279826","10837006","396495","12521482","512466","26395903","704183","19015938","348815","37074227","547316","7635712","515279","15468226","676185"
"04/23/2018 19:44:23.424","10192226","510923","20935343","726305","20896294","1512756","45650760","2094623","6918974","481674","14738322","691872","17387056","1303502","39257720","1783296"
"04/23/2018 19:44:24.424","13531159","405346","27627546","578623","12074312","569602","25388540","771613","15088223","480822","31616204","687657","6246614","593507","13153369","765159"
"04/23/2018 19:44:25.424","2413223","159489","4968690","201622","3272436","252742","7078132","326873","4215346","188647","7762817","260555","2452108","373836","5322516","460648"
"04/23/2018 19:44:26.424","622024","79211","1400620","100422","3049244","143027","5494745","188706","1599852","94367","3226330","122392","1184433","151906","2405413","185146"
"04/23/2018 19:44:27.424","526791","56567","1145581","70382","733799","77900","1700360","96696","2114805","43144","3391971","63754","1594214","103519","3071481","130903"
"04/23/2018 19:44:28.424","2091151","54247","3436286","78254","912441","92783","2008520","116522","322233","31030","781824","38450","556888","89031","1220387","107594"
"04/23/2018 19:44:29.424","2166956","45954","3481182","69269","1017830","76966","2351874","95387","765627","34867","1521034","44352","823023","69763","1544569","84613"
"04/23/2018 19:44:30.424","623771","71806","1337192","89341","2773763","109461","4749888","147271","742874","74794","1529977","90795","591173","91872","1302168","110453"
"04/23/2018 19:44:31.424","2461171","160562","5437952","240985","1304998","136791","2821909","192634","1529175","122252","3464619","171043","3301167","159685","6028216","218820"
"04/23/2018 19:44:32.424","1135461","98789","2443484","136053","13203932","112172","18578680","236527","16921126","87305","26585121","208067","4247834","89659","6396624","134484"
"04/23/2018 19:44:33.424","25808439","910242","43433163","1619093","23439004","865359","39555638","1492596","8117798","656999","17297592","1110396","72100757","629276","103200445","1427425"
"04/23/2018 19:44:34.424","582704","54723","1273135","69217","982768","98297","2053059","123695","2525178","45753","4053035","68618","686779","104418","1542846","129077"
"04/23/2018 19:44:35.424","2644665","154777","5884121","225510","2560972","105348","4393303","150758","1278865","92774","2863555","129778","1271645","133305","2814813","185160"
"04/23/2018 19:44:36.424","2372257","70812","4034041","102620","844979","93140","1799383","117145","419655","46844","915597","58017","530739","72367","1158815","87025"
"04/23/2018 19:44:37.424","1558595","64378","3097212","85680","697235","98407","1566305","121039","2278307","69651","3848752","97798","737927","121164","1616553","144711"
"04/23/2018 19:44:38.424","2678129","48895","4366602","73702","650550","78724","1464778","99750","413060","41139","927333","51473","541807","73637","1176175","91743"
"04/23/2018 19:44:39.424","15627320","570223","33782320","944284","16687933","738626","38265369","1197456","14086017","616215","32571260","987178","14072917","662517","32037594","1056561"
"04/23/2018 19:44:40.424","2395504","75913","3995136","105334","796392","92410","1775021","115239","1058695","54671","2530377","74198","1483595","134126","3513797","170027"
"04/23/2018 19:44:41.424","478288","45633","1046684","57933","2134352","74795","3537254","102119","328531","35618","723266","43442","412271","66162","914439","79303"
"04/23/2018 19:44:42.424","1950654","156798","3990689","201254","4988371","261559","9337914","345128","2648999","160598","5373231","210242","1676520","269428","3671935","324480"
"04/23/2018 19:44:43.424","2718737","223621","6036344","293919","3027668","258307","6653612","330928","9731792","258284","19682282","360848","2423540","295615","5270992","370272"
"04/23/2018 19:44:44.424","518708","34808","1183385","46069","2261325","78157","3775003","106565","714827","34417","1379657","42588","289020","40489","626573","48085"
"04/23/2018 19:44:45.425","4031158","256313","8798393","343999","5050899","315778","10452180","420630","13534922","387134","27509194","549515","6982106","357708","14935910","459408"
